house,avg_weekly_packs,avg_weekly_spend,avg_weekly_vol,shops,brands,max_spend,min_spend,prop_promo_price,prop_promo_units,avg_weekly_visits,cust_type
735274,4,9.88,0.7996,1,1,2.47,2.47,1,0,1,Heavy
735276,2,4.98,0.3998,1,1,2.49,2.49,1,0,1,Heavy
735281,1,2.76333333333333,0.0867333333333333,2,3,3.29,2,0.666666666666667,0,1,Light
735305,1,2.06,0.11008,3,2,3,1.75,0.2,0,1,Light
735306,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
735314,1.5,7.45111111111111,0.330411111111111,1,1,7.45,0,0.666666666666667,0.222222222222222,1.16666666666667,Heavy
735325,1,2,0.1001,1,1,2,2,1,0,1,Light
735330,1,2,0.0499,1,1,2,2,1,0,1,Light
735334,1.20689655172414,4.58448275862069,0.270079310344828,2,5,7.98,2.47,0.742857142857143,0.0285714285714286,1.06896551724138,Heavy
735340,3,12,0.5997,1,1,4,4,1,0,1,Heavy
735380,1,1.99,0.1001,1,1,1.99,1.99,1,0,1,Light
735452,1,3.475,0.09755,1,2,3.98,2.97,0,0,1,Light
735454,1,5,0.275,1,1,5,5,1,0,1,Heavy
735455,1,3.25,0.1001,1,1,3.25,3.25,0,0,1,Light
735456,2.04761904761905,5.93095238095238,0.371552380952381,3,5,4,2,0.930232558139535,0.0232558139534884,1.04761904761905,Heavy
735457,1,4.5,0.23745,2,1,5,4,1,0,1,Heavy
735466,1,3,0.1001,1,1,3,3,1,0,1,Light
735471,1,4.77363636363636,0.2999,1,1,5,3.98,0.727272727272727,0,1,Heavy
735472,1.5,5.695,0.34995,2,2,5,1.5,1,0,1.5,Heavy
735483,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
735488,1.5,4,0.29985,1,1,3,2.5,0,0.666666666666667,1,Heavy
735510,1.125,5.27875,0.3373875,2,1,4.89,4,0.888888888888889,0.111111111111111,1,Heavy
735520,1,2.5,0.095,1,1,2.5,2.5,0,0,1,Light
735525,1,3.845,0.2499,2,2,4.89,2.8,0.5,0,1,Heavy
735531,2.23076923076923,6.49923076923077,0.2421,2,3,5,2,0.517241379310345,0.379310344827586,1,Heavy
735534,1.4,4.812,0.36702,3,4,4.45,2.79,0.714285714285714,0,1,Heavy
735546,1,2.625,0.1001,1,2,3.5,1.75,0,0,1,Light
735557,1,1.77,0.112575,2,3,2.49,0.6,0.25,0.25,1,Light
735624,4,12.99,0.4004,1,1,3.33,3,0.25,0.75,1,Heavy
735627,1,2,0.0201,1,1,2,2,0,0,1,Light
735634,1.08333333333333,2.735,0.101733333333333,2,4,3,2,0.846153846153846,0,1,Light
735639,1,2.5,0.095,1,1,2.5,2.5,0,0,1,Light
735669,1,4.15,0.2999,1,1,4.15,4.15,0,0,1,Heavy
735696,1,1.5,0.1001,1,1,1.5,1.5,0,0,1,Light
735719,1,2,0.1,1,1,2,2,0.5,0,1,Light
735732,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
735761,1,3,0.1,1,1,3,3,1,0,1,Light
735762,1,2.75,0.1001,1,1,2.75,2.75,1,0,1,Light
735768,2,4.94,0.3998,1,1,2.47,2.47,1,0,1,Heavy
735783,1,2.41875,0.0963,2,3,3,2,1,0,1,Light
735854,1.8,5.4,0.27192,1,2,3.5,2,1,0,1,Heavy
735863,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
735868,2,8,0.5998,1,1,4,4,1,0,1,Heavy
735880,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
735902,1,5.89,0.2999,1,1,5.89,5.89,0,0,1,Heavy
735911,1,2.735,0.1001,1,2,3.28,2.19,0,0,1,Light
735914,2,8.5,0.3998,1,1,5,3.5,1,0,1,Heavy
735936,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
735938,1,3.04,0.095,2,1,3.7,2.5,0.4,0,1,Light
735940,1,2.245,0.075,2,2,2.49,2,1,0,1,Light
735957,1.27272727272727,2.53636363636364,0.254418181818182,2,1,2,1.95,0.357142857142857,0,1.09090909090909,Heavy
735980,1,2.37222222222222,0.244344444444444,1,1,2.9,1.95,0,0,1,Heavy
735991,1,2.39111111111111,0.107822222222222,3,6,3.99,1.75,0.666666666666667,0,1,Light
736001,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
736002,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
736009,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
736011,1.4,6.312,0.41986,4,1,4.89,4,0.714285714285714,0,1,Heavy
736024,2.33333333333333,8.65,0.644233333333333,3,3,5,1.85,0.571428571428571,0.0476190476190476,1,Heavy
736029,1.4,5.694,0.24992,2,1,5.99,0,0.428571428571429,0.428571428571429,1,Heavy
736031,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
736049,1,3.23,0.115033333333333,2,3,4.99,1.39,0.5,0,1,Light
736067,1,1.75,0.0999,1,1,1.75,1.75,0,0,1,Light
736114,2,5.44,0.36985,1,2,2.97,2.47,1,0,2,Heavy
736129,1,3.4375,0.1001,1,1,3.6,2.95,0.25,0,1,Light
736161,4,10,0.4004,1,1,2.5,2.5,0,1,1,Heavy
736166,1.25,2.7475,0.112525,4,2,3,1.99,0.8,0,1,Light
736179,1,4.66666666666667,0.233233333333333,2,1,5,4,1,0,1,Heavy
736187,1,2.55,0.1001,1,1,2.6,2.5,0.75,0,1,Light
736196,1.2,4.9,0.25999,2,1,5,3,1,0,1,Heavy
736201,1,2.89,0.1001,1,1,2.89,2.89,0,0,1,Light
736208,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
736215,1.5,4.895,0.29985,2,2,4,2.79,0.333333333333333,0,1.5,Heavy
736221,1.33333333333333,4.15833333333333,0.2499,1,1,3.4,1.75,0,0,1,Heavy
736224,1,3,0.1001,1,1,3,3,1,0,1,Light
736236,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
736294,1.26923076923077,6.21,0.37295,4,1,5.79,4,0.696969696969697,0.272727272727273,1.11538461538462,Heavy
736301,1,3,0.1001,1,1,3,3,0,0,1,Light
736307,1,4.08166666666667,0.25825,3,1,5,2.5,1,0,1,Heavy
736309,1,2.875,0.1001,2,1,3,2.75,0.5,0,1,Light
736370,1.33333333333333,3.43333333333333,0.0966,2,2,3,2,0.75,0,1.33333333333333,Light
736414,1.9375,4.80875,0.2421875,4,3,4.89,1,0.838709677419355,0.0645161290322581,1.0625,Heavy
736431,1.5,6.1225,0.232525,4,3,5,3,0.5,0.333333333333333,1,Heavy
736522,2,4.3,0.3,1,1,2.15,2.15,0,0,1,Heavy
736525,1,3.5,0.1001,1,1,3.5,3.5,0,0,1,Light
736538,1,2.49,0.1001,1,1,2.49,2.49,0,0,1,Light
736554,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
736563,1.64285714285714,5.08357142857143,0.24995,3,1,4.5,1.99,0.91304347826087,0,1,Heavy
736574,1.33333333333333,5,0.2583,1,1,5,3,1,0,1,Heavy
736576,1,4.1175,0.2749,2,2,5,2.47,1,0,1,Heavy
736580,1,4.66666666666667,0.283233333333333,1,1,5,4,1,0,1,Heavy
736597,1,2.2975,0.098825,3,3,3.25,1.39,0.25,0,1,Light
736601,1.4,4.82,0.24992,2,2,4.99,2.97,0.904761904761905,0,1.2,Heavy
736610,1,3,0.1,1,1,3,3,1,0,1,Light
736616,1,4.89,0.2999,2,1,4.89,4.89,0.5,0.375,1,Heavy
736646,1,2.168,0.09806,1,2,3,1.75,0.4,0,1,Light
736657,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
736661,2.33333333333333,8.5,0.438711111111111,1,1,4,3,1,0,1,Heavy
736682,2.4,7.61933333333333,0.363326666666667,2,3,5,2,1,0,1.06666666666667,Heavy
736697,1.77777777777778,5.84,0.247722222222222,3,2,5,2.5,0.8125,0,1,Heavy
