"","house","brand_clean","brand_count"
"802",52014,"Nescafe",9
"803",52023,"Carte Noire",1
"804",52023,"Nescafe",1
"805",52243,"Douwe Egbert",6
"806",52290,"Nescafe",5
"807",52442,"Supermarket own",1
"808",52567,"Douwe Egbert",5
"809",52567,"Kenco",1
"810",52567,"Nescafe",1
"811",52570,"Kenco",1
"812",52570,"Nescafe",2
"813",52570,"Supermarket own",1
"814",52594,"Nescafe",3
"815",52630,"Kenco",2
"816",52630,"Nescafe",19
"817",52739,"Douwe Egbert",2
"818",52739,"Nescafe",4
"819",52739,"Supermarket own",9
"820",52816,"Douwe Egbert",2
"821",52816,"Nescafe",2
"822",52821,"Nescafe",1
"823",52977,"Douwe Egbert",1
"824",52977,"Kenco",6
"825",52977,"Nescafe",2
"826",52977,"Supermarket own",1
"827",52997,"Nescafe",8
"828",53133,"Douwe Egbert",2
"829",53133,"Nescafe",4
"830",53133,"Other brands",5
"831",53143,"Douwe Egbert",4
"832",53200,"Other brands",1
"833",53228,"Nescafe",1
"834",53299,"Nescafe",1
"835",53321,"Kenco",12
"836",53321,"Nescafe",1
"837",53338,"Douwe Egbert",6
"838",53338,"Kenco",1
"839",53338,"Nescafe",3
"840",53338,"Supermarket own",1
"841",53383,"Nescafe",2
"842",53517,"Douwe Egbert",2
"843",53517,"Nescafe",4
"844",53527,"Kenco",2
"845",53570,"Supermarket own",2
"846",53883,"Kenco",4
"847",53883,"Nescafe",8
"848",53912,"Carte Noire",2
"849",53928,"Carte Noire",29
"850",53938,"Other brands",6
"851",53965,"Douwe Egbert",2
"852",53965,"Nescafe",3
"853",54045,"Nescafe",1
"854",54073,"Nescafe",6
"855",54116,"Other brands",3
"856",54162,"Douwe Egbert",3
"857",54162,"Nescafe",1
"858",54191,"Douwe Egbert",1
"859",54255,"Kenco",2
"860",54255,"Supermarket own",3
"861",54279,"Kenco",1
"862",54279,"Supermarket own",3
"863",54337,"Nescafe",2
"864",54337,"Supermarket own",2
"865",54379,"Kenco",1
"866",54390,"Supermarket own",3
"867",54468,"Douwe Egbert",3
"868",54468,"Nescafe",1
"869",54480,"Nescafe",1
"870",54491,"Douwe Egbert",4
"871",54497,"Nescafe",4
"872",54508,"Nescafe",20
"873",54526,"Supermarket own",6
"874",54553,"Supermarket own",34
"875",54579,"Carte Noire",1
"876",54579,"Kenco",2
"877",54579,"Nescafe",2
"878",54579,"Other brands",1
"879",54579,"Supermarket own",7
"880",54586,"Kenco",1
"881",54586,"Supermarket own",1
"882",54612,"Nescafe",1
"883",54687,"Carte Noire",1
"884",54687,"Kenco",1
"885",54687,"Supermarket own",21
"886",54733,"Douwe Egbert",1
"887",54733,"Kenco",1
"888",54733,"Nescafe",3
"889",54733,"Supermarket own",12
"890",54771,"Carte Noire",4
"891",54771,"Kenco",1
"892",54771,"Nescafe",4
"893",54771,"Supermarket own",2
"894",54811,"Supermarket own",2
